id,category,subcategory,english,newari_devanagari,newari_transliteration,grammar_pattern,grammar_note,difficulty
117,directions,giving,The school is near the temple.,विद्यालय देगःया छेँपाखे दु।,Vidyalaya degahya chhenpakhe du.,S + N-gen + N(proximity) + exist,proximity expression,intermediate
118,shopping,price,How much does this cost?,थ्व तःमाः छुगु?,Thwa tahmah chhugu?,dem + N(price) + Q,price question,beginner
119,shopping,price,It costs one hundred rupees.,थ्व तम रुपैया खः।,Thwa tama rupaya khah.,dem + num + N(currency) + copula,price statement,beginner
120,shopping,request,Give me two of these.,थ्व नि दयेमा।,Thwa ni dayema.,dem + num + V-polite-imp,purchase request,beginner
121,shopping,bargaining,Can you lower the price?,तःमाः क्वकायेफु?,Tahmah kwakayephu?,N + V-modal-Q,bargaining question,intermediate
122,health,symptoms,My head hurts.,जिगु सिं न्ह्याबोगु।,Jigu si nhyabogu.,S-poss + body-part + V,pain expression,beginner
123,health,symptoms,I am sick.,जि न्ह्येबोगु।,Ji nhyebogu.,S + Adj,sickness adjective,beginner
124,health,seeking help,I need a doctor.,जित डाक्टर लाये।,Jita doctor laye.,IO + N + V(need),need expression,beginner
125,health,advice,You should rest.,छि थाने मा।,Chhi thane maa.,S + V-should,advice/obligation,intermediate
126,culture,festivals,We celebrate Indra Jatra.,जिपिं इन्द्र जात्रा यायेगु।,Jiping Indra Jatra yayegu.,S + N(festival) + V,yayegu = do/celebrate,beginner
127,culture,festivals,The festival is very beautiful.,जात्रा न्ह्याकन सुंदर खः।,Jatra nhyakan sundara khah.,S + degree + Adj + copula,festival description,beginner
128,culture,tradition,The Newar community lives in Kathmandu Valley.,नेवार समुदाय येँ उपत्यकाय् थाःगु दु।,Newar samuday yen upatyakay thahgu du.,S + loc + V-rel + exist,community location,intermediate
129,culture,tradition,Newari food is delicious.,नेवारी खाजा मिठो खः।,Newari khaja mitho khah.,N(adj) + N + Adj + copula,cultural food,beginner
130,culture,tradition,We preserve our language.,जिपिं जिपिंगु भाषा रक्षा यायेगु।,Jiping jipingu bhasa raksha yayegu.,S + S-poss + N + V,language preservation,intermediate
