category,english,nepalbhasa_devanagari,nepalbhasa_transliteration
place,bank,बैंक,Bainka
place,office,कचहरी,Kachahari
place,garden,बगैंचा,Bagaincha
place,park,उद्यान,Udyana
pronoun,I,जि,Ji
pronoun,you,छि,Chhi
pronoun,he,व,Wa
pronoun,she,व,Wa
pronoun,we,जिपिं,Jiping
pronoun,they,वपिं,Waping
pronoun,this,थ्व,Thwa
pronoun,that,थथे,Thathe
pronoun,what,छु,Chhu
pronoun,who,सुं,Su
pronoun,where,खः,Khah
pronoun,when,बले,Bale
pronoun,why,छुकथं,Chhukathan
pronoun,how,छुगु,Chhugu
clothing,shirt,कमिज,Kamija
clothing,pants,सुरुवाल,Suruval
clothing,dress,लुगा,Luga
clothing,shoes,खोय्,Khoy
clothing,hat,टोपी,Topi
clothing,jacket,ज्याकेट,Jaketa
clothing,sari,सारी,Sari
clothing,traditional dress,हाकु पतासी,Haku patasi
object,book,सफु,Saphu
object,pen,कलम,Kalama
object,phone,फोन,Phona
object,money,तःमाः,Tahmah
object,key,साँचो,Sancho
object,door,ग्व,Gwa
object,window,झ्याल,Jhyal
object,table,मेज,Meja
object,chair,काठ,Kath
object,bed,नेग,Nega
object,bag,थाःसा,Thahsa
object,car,गाडी,Gadi
object,bicycle,साइकल,Saikala
object,computer,कम्प्युटर,Kampyutar
object,clock,घडी,Ghadi
object,mirror,ऐना,Aina
object,lamp,बत्ती,Batti
object,knife,छु,Chhu
object,spoon,चम्चा,Chamcha
object,plate,थाः,Thah
object,cup,गिलास,Gilas
