category,english,nepalbhasa_devanagari,nepalbhasa_transliteration
place,bank,बैंक,Bainka
place,office,कचहरी,Kachahari
place,garden,बगैंचा,Bagaincha
place,park,उद्यान,Udyana
pronoun,I,जि,Ji
pronoun,you,छि,Chhi
pronoun,he,व,Wa
pronoun,she,व,Wa
pronoun,we,जिपिं,Jiping
pronoun,they,वपिं,Waping
pronoun,this,थ्व,Thwa
pronoun,that,थथे,Thathe
pronoun,what,छु,Chhu
pronoun,who,सुं,Su
pronoun,where,खः,Khah
pronoun,when,बले,Bale
pronoun,why,छुकथं,Chhukathan
pronoun,how,छुगु,Chhugu
clothing,shirt,कमिज,Kamija
clothing,pants,सुरुवाल,Suruval
clothing,dress,लुगा,Luga
clothing,shoes,खोय्,Khoy
clothing,hat,टोपी,Topi
clothing,jacket,ज्याकेट,Jaketa
clothing,sari,सारी,Sari
clothing,traditional dress,हाकु पतासी,Haku patasi
object,book,सफु,Saphu
object,pen,कलम,Kalama
object,phone,फोन,Phona
object,money,तःमाः,Tahmah
object,key,साँचो,Sancho
object,door,ग्व,Gwa
object,window,झ्याल,Jhyal
object,table,मेज,Meja
object,chair,काठ,Kath
object,bed,नेग,Nega
object,bag,थाःसा,Thahsa
object,car,गाडी,Gadi
object,bicycle,साइकल,Saikala
object,computer,कम्प्युटर,Kampyutar
object,clock,घडी,Ghadi
object,mirror,ऐना,Aina
object,lamp,बत्ती,Batti
object,knife,छु,Chhu
object,spoon,चम्चा,Chamcha
object,plate,थाः,Thah
object,cup,गिलास,Gilas
profession,teacher,गुरु,Guru
profession,doctor,डाक्टर,Daktar
profession,farmer,किसान,Kisan
profession,soldier,सिपाही,Sipahi
profession,king,राजा,Raja
profession,queen,रानी,Rani
profession,priest,पुजारी,Pujari
profession,merchant,व्यापारी,Vyapari
profession,carpenter,सिकर्मी,Sikarmi
profession,blacksmith,कामी,Kami
profession,potter,कुमाल,Kumal
profession,painter,रङ्कर्मी,Rankarmi
profession,singer,गायक,Gayak
profession,dancer,नर्तक,Nartak
profession,student,छात्र,Chhatra
profession,writer,लेखक,Lekhak
profession,cook,भान्छे,Bhanche
profession,driver,चालक,Chalak
profession,engineer,इन्जिनियर,Injiniyar
profession,lawyer,वकिल,Vakil
profession,nurse,नर्स,Narsa
profession,artist,कलाकार,Kalakar
profession,musician,संगीतकार,Sangitakar
profession,fisherman,माछापालक,Machhapalak
profession,shepherd,गोठाला,Gothala
profession,tailor,दर्जी,Darji
profession,barber,नापित,Napit
profession,weaver,बुनकर,Bunakar
profession,goldsmith,सुनार,Sunar
animal,cow,गाः,Gah
animal,buffalo,मेमः,Memah
animal,goat,च्यालः,Chyalah
animal,dog,खिचा,Khicha
animal,cat,मिमि,Mimi
animal,elephant,हस्ति,Hasti
animal,tiger,बाघ,Bagh
animal,lion,सिंह,Sinha
animal,monkey,बाँदर,Bandar
animal,snake,लुँ,Lu
animal,horse,घोडा,Ghoda
animal,rabbit,खरायो,Khirayo
animal,deer,मृग,Mruga
animal,bear,भालु,Bhalu
animal,crow,काग,Kaga
animal,parrot,सुगा,Suga
animal,peacock,मयूर,Mayur
animal,owl,उल्लु,Ullu
animal,eagle,चिल,Chila
animal,butterfly,पुतली,Putali
animal,bee,मौरी,Mauri
animal,ant,कमिला,Kamila
animal,frog,भ्यागुतो,Bhyaguto
animal,turtle,कछुवा,Kachhuwa
animal,crocodile,गोही,Gohi
animal,pig,बँगुर,Bangur
animal,sheep,भेडा,Bheda
animal,duck,हाँस,Hans
animal,hen,कुखुरा,Kukura
animal,rooster,भाले,Bhale
animal,rat,मुसो,Muso
insect,mosquito,लाम्खुट्टे,Lamkhutte
insect,fly,झिंगा,Jhinga
insect,spider,माकुरो,Makuro
insect,worm,किरा,Kira
insect,cockroach,सालिगाँठे,Saligante
insect,grasshopper,फट्याङ्ग्रो,Phatyangro
insect,dragonfly,डम्सेल,Damsel
insect,beetle,भृङ्गराज,Bhringaraj
vegetable,potato,आलु,Alu
vegetable,tomato,गोलभेडा,Golbheda
vegetable,onion,प्याज,Pyaj
vegetable,garlic,लसुन,Lasun
vegetable,ginger,अदुवा,Aduwa
vegetable,spinach,पालुंगो,Palungo
vegetable,cabbage,बन्दा,Banda
vegetable,cauliflower,काउली,Kauli
vegetable,carrot,गाजर,Gajar
vegetable,radish,मूला,Mula
vegetable,pumpkin,फर्सी,Pharsi
vegetable,bitter gourd,करेला,Karela
vegetable,bean,सिमी,Simi
vegetable,pea,केराउ,Kerau
vegetable,mushroom,च्याउ,Chyau
vegetable,bamboo shoot,तामा,Tama
vegetable,corn,मकै,Makai
vegetable,eggplant,भन्टा,Bhanta
vegetable,cucumber,काँक्रो,Kakro
vegetable,leek,प्याजको पात,Pyajko pat
fruit,mango,आँप,Amp
fruit,banana,केरा,Kera
fruit,apple,स्याउ,Syau
fruit,orange,सुन्तला,Suntala
fruit,pineapple,भुईकटहर,Bhuikathar
fruit,papaya,मेवा,Mewa
fruit,guava,अम्बा,Amba
fruit,lemon,कागती,Kagati
fruit,grape,अंगुर,Angur
fruit,watermelon,तरबुजा,Tarbuja
fruit,strawberry,स्ट्रबेरी,Strawberry
fruit,coconut,नरिवल,Nariwal
fruit,jackfruit,रुखकटहर,Rukhkathar
fruit,litchi,लिची,Lichi
fruit,peach,आरू,Aru
fruit,plum,आलुबखडा,Alubakhda
fruit,pomegranate,अनार,Anar
fruit,fig,अन्जीर,Anjir
fruit,date,खजुर,Khajur
grain,wheat,गहुँ,Gahu
grain,maize,मकै,Makai
grain,millet,कोदो,Kodo
grain,barley,जौ,Jau
grain,lentil,दाल,Dal
grain,chickpea,चना,Chana
grain,soybean,भटमास,Bhatamas
grain,sesame,तिल,Tila
grain,mustard,तोरी,Tori
spice,turmeric,बेसार,Besar
spice,cumin,जीरा,Jira
spice,coriander,धनिया,Dhaniya
spice,chilli,खुर्सानी,Khursani
spice,pepper,मरिच,Marich
spice,cinnamon,दालचिनी,Dalchini
spice,cardamom,अलैंची,Alainchi
spice,clove,लवंग,Lavang
spice,bay leaf,तेजपात,Tejapat
spice,fenugreek,मेथी,Methi
spice,asafoetida,हिंग,Hing
spice,saffron,केसर,Kesar
drink,wine,आयला,Ayla
drink,beer,जाँड,Jand
drink,juice,रस,Rasa
drink,soup,झोल,Jhol
drink,buttermilk,मही,Mahi
drink,lassi,लस्सी,Lassi
drink,coffee,कफी,Kafi
drink,alcohol,मद्य,Madya
drink,rice beer,छ्याँ,Chhya
newari_food,bara,बरा,Bara
newari_food,chatamari,च्वःतामरि,Chwotamari
newari_food,yomari,योमरि,Yomari
newari_food,kwati,क्वाँटी,Kwanti
newari_food,samay baji,समयबाजी,Samay baji
newari_food,choyla,च्वइला,Chwoila
newari_food,aloo tama,आलु तामा,Alu tama
newari_food,sapu mhicha,सपु म्हिचा,Sapu mhicha
newari_food,lakhamari,लाखामरि,Lakhamari
newari_food,sel roti,सेल रोटी,Sel roti
newari_food,wo,वो,Wo
newari_food,dhau,धौ,Dhau
body,blood,रगत,Ragat
body,bone,हड्डी,Haddi
body,skin,छाला,Chhala
body,brain,दिमाग,Dimag
body,lung,फोक्सो,Phokso
body,liver,कलेजो,Kalejo
body,kidney,मृगौला,Mrigaula
body,knee,घुँडा,Ghunda
body,elbow,कुहिनो,Kuhino
body,wrist,नाडी,Nadi
body,ankle,गोली,Goli
body,cheek,गाला,Gala
body,forehead,निधार,Nidhar
body,chin,चिउँडो,Chiundo
body,lip,ओठ,Oth
body,eyelash,परेला,Parela
body,eyebrow,भौं,Bhau
body,nail,नङ,Nanga
body,thumb,बुढी औंला,Budhi aunla
body,palm,हत्केला,Hatkela
body,sole,तलुवा,Taluwa
body,spine,मेरुदण्ड,Merudanda
body,chest,छाती,Chhati
body,armpit,काखी,Kakhi
health,fever,ज्वरो,Jwaro
health,cough,खोकी,Khoki
health,cold,रुघा,Rugha
health,headache,टाउको दुखाइ,Tauko dukhai
health,stomachache,पेट दुखाइ,Pet dukhai
health,wound,घाउ,Ghau
health,medicine,औषधि,Ausadhi
health,hospital,अस्पताल,Aspatal
health,surgery,शल्यक्रिया,Shalyakriya
health,injection,सुई,Sui
health,bandage,पट्टी,Patti
health,allergy,एलर्जी,Alarji
health,diabetes,मधुमेह,Madhumeh
health,blood pressure,रक्तचाप,Raktachap
health,pregnancy,गर्भावस्था,Garbhabastha
house,roof,छत,Chhata
house,wall,भित्ता,Bhitta
house,floor,भुइँ,Bhui
house,ceiling,छत भित्र,Chhata bhitra
house,staircase,भर्‍याङ,Bharyang
house,courtyard,आँगन,Angan
house,kitchen,भान्साकोठा,Bhansakotha
house,bedroom,सुत्ने कोठा,Sutne kotha
house,bathroom,बाथरूम,Bathrum
house,toilet,शौचालय,Shauchalay
house,garden,बगैंचा,Bagaincha
house,gate,ढोका,Dhoka
house,balcony,बरन्डा,Baranda
house,pillar,खम्बा,Khamba
house,brick,इँटा,Inta
house,wood,काठ,Kath
house,paint,रङ,Rang
house,lock,ताल्चा,Talcha
house,chimney,धुँवा निकाल्ने,Dhuwa nikalane
furniture,sofa,सोफा,Sopha
furniture,shelf,दराज,Daraj
furniture,wardrobe,अलमारी,Almari
furniture,curtain,पर्दा,Parda
furniture,carpet,गलैंचा,Galaincha
furniture,pillow,सिरानी,Sirani
furniture,blanket,सिरक,Sirak
furniture,broom,कुचो,Kucho
furniture,bucket,बाल्टिन,Baltin
furniture,pot,भाँडो,Bhando
furniture,pan,तावा,Tawa
furniture,pressure cooker,प्रेसर कुकर,Prasar kukar
furniture,stove,चुलो,Chulo
furniture,refrigerator,फ्रिज,Phriz
furniture,fan,पंखा,Pankha
furniture,television,टेलिभिजन,Telibhizan
furniture,radio,रेडियो,Rediyo
furniture,washing machine,धुने मेसिन,Dhune mesin
education,pencil,पेन्सिल,Pensil
education,eraser,रबर,Rabar
education,ruler,स्केल,Skela
education,notebook,कापी,Kapi
education,dictionary,शब्दकोश,Shabdakosh
education,blackboard,कालोपाटी,Kalopati
education,chalk,खरी,Khari
education,exam,परीक्षा,Pariksha
education,lesson,पाठ,Path
education,homework,गृहकार्य,Grihakary
education,library,पुस्तकालय,Pustakalay
education,classroom,कक्षाकोठा,Kakshakotha
education,principal,प्रधानाध्यापक,Pradhanadhy
education,subject,विषय,Vishay
education,mathematics,गणित,Ganit
education,science,विज्ञान,Bigyan
education,history,इतिहास,Itihas
education,geography,भूगोल,Bhugol
education,language,भाषा,Bhasa
education,art,कला,Kala
education,music,संगीत,Sangit
education,sports,खेलकूद,Khelkud
education,certificate,प्रमाणपत्र,Pramanpatra
education,degree,उपाधि,Upadhi
transport,bus,बस,Basa
transport,truck,ट्रक,Traka
transport,motorcycle,मोटरसाइकल,Motarsakal
transport,airplane,जहाज,Jahaj
transport,boat,डुंगा,Dunga
transport,train,रेलगाडी,Relgadi
transport,rickshaw,रिक्सा,Riksha
transport,taxi,ट्याक्सी,Tyaksi
transport,road,बाटो,Bato
transport,bridge,पुल,Pul
transport,station,स्टेशन,Steshan
transport,airport,विमानस्थल,Bimanasthal
transport,ticket,टिकट,Tikta
transport,fuel,इन्धन,Indhan
transport,wheel,पाङ्ग्रा,Pangra
transport,engine,इन्जिन,Injin
transport,driver,चालक,Chalak
transport,passenger,यात्री,Yatri
technology,internet,इन्टरनेट,Intarnet
technology,website,वेबसाइट,Websait
technology,application,अनुप्रयोग,Anuprayog
technology,password,पासवर्ड,Paswarda
technology,keyboard,किबोर्ड,Kiborda
technology,mouse,माउस,Maus
technology,screen,स्क्रिन,Skrina
technology,camera,क्यामेरा,Kyamera
technology,battery,ब्याट्री,Byatri
technology,charger,चार्जर,Charjar
technology,cable,केबल,Kebal
technology,satellite,उपग्रह,Upagrah
technology,printer,प्रिन्टर,Printar
technology,scanner,स्क्यानर,Skyanar
technology,speaker,स्पिकर,Spikar
technology,headphone,हेडफोन,Hedaphon
technology,wifi,वाइफाइ,Waphai
technology,bluetooth,ब्लुटुथ,Blututh
technology,data,डेटा,Deta
technology,software,सफ्टवेयर,Saphtaweyar
nature,valley,उपत्यका,Upatyaka
nature,hill,पहाड,Pahad
nature,cave,गुफा,Gupha
nature,waterfall,झरना,Jharna
nature,jungle,जंगल,Jangal
nature,sand,बालुवा,Baluwa
nature,mud,हिलो,Hilo
nature,rock,ढुंगा,Dhunga
nature,soil,माटो,Mato
nature,grass,घाँस,Ghans
nature,root,जरा,Jara
nature,branch,हाँगा,Hanga
nature,seed,बीउ,Biu
nature,fruit,फल,Phala
nature,shadow,छाया,Chhaya
nature,rainbow,इन्द्रेणी,Indreni
nature,storm,आँधी,Andhi
nature,earthquake,भूकम्प,Bhukampa
nature,flood,बाढी,Badhi
nature,drought,खडेरी,Khaderi
nature,sunrise,सूर्योदय,Suryoday
nature,sunset,सूर्यास्त,Suryast
nature,horizon,क्षितिज,Kshitij
nature,wave,लहर,Lahar
nature,ice,बरफ,Baraph
nature,fog,कुहिरो,Kuhiro
nature,dew,शीत,Shit
nature,dust,धूलो,Dhulo
nature,smoke,धुँवा,Dhuwa
nature,ash,खरानी,Kharani
weather,hot,गर्मी,Garmi
weather,cold,जाडो,Jado
weather,rainy season,वर्षा ऋतु,Barsha ritu
weather,winter,हिउँद,Hiud
weather,spring,वसन्त,Basanta
weather,summer,गर्मी मौसम,Garmi mausam
weather,autumn,शरद,Sharad
weather,lightning,बिजुली,Bijuli
weather,thunder,गर्जन,Garjan
weather,hail,असिना,Asina
weather,humidity,आर्द्रता,Ardrata
weather,temperature,तापक्रम,Tapkram
geography,Terai,तराई,Tarai
geography,Himalayas,हिमालय,Himalay
geography,Kathmandu Valley,काठमाडौं उपत्यका,Kathmandu Upatyaka
geography,Pokhara,पोखरा,Pokhara
geography,Lumbini,लुम्बिनी,Lumbini
geography,Chitwan,चितवन,Chitawan
geography,Mustang,मुस्ताङ,Mustang
geography,Everest,सगरमाथा,Sagarmatha
geography,Annapurna,अन्नपूर्णा,Annapurna
geography,Bagmati,बागमती,Bagmati
geography,Pashupatinath,पशुपतिनाथ,Pashupatinat
geography,Boudhanath,बौद्धनाथ,Baudhanat
geography,Swayambhunath,स्वयम्भूनाथ,Swayambhunat
geography,Patan,पाटन,Patan
geography,district,जिल्ला,Jilla
geography,province,प्रदेश,Pradesh
geography,municipality,नगरपालिका,Nagarpalika
religion,god,देव,Deva
religion,goddess,देवी,Devi
religion,prayer,पूजा,Puja
religion,temple,देगः,Degah
religion,monastery,विहार,Bihar
religion,monk,भिक्षु,Bhikshu
religion,festival,जात्रा,Jatra
religion,offering,प्रसाद,Prasad
religion,incense,धूप,Dhup
religion,bell,घन्टी,Ghanti
religion,lamp,दियो,Diyo
religion,holy water,तीर्थ जल,Tirtha jal
religion,mantra,मन्त्र,Mantra
religion,idol,मूर्ति,Murti
religion,pilgrimage,तीर्थयात्रा,Tirthayatra
religion,blessing,आशीर्वाद,Ashirbad
religion,sin,पाप,Pap
religion,virtue,पुण्य,Punya
religion,karma,कर्म,Karma
religion,dharma,धर्म,Dharma
religion,Buddha,बुद्ध,Buddha
religion,Shiva,शिव,Shiva
religion,Vishnu,विष्णु,Vishnu
religion,Kumari,कुमारी,Kumari
religion,Indra,इन्द्र,Indra
festival,Indra Jatra,इन्द्र जात्रा,Indra Jatra
festival,Bisket Jatra,बिस्केट जात्रा,Bisket Jatra
festival,Rato Machindranath,रातो मच्छिन्द्रनाथ,Rato Machhindranath
festival,Gai Jatra,गाई जात्रा,Gai Jatra
festival,Dashain,दशैं,Dashain
festival,Tihar,तिहार,Tihar
festival,Yomari Punhi,योमरि पुन्हि,Yomari Punhi
festival,Sithi Nakha,सिथि नखः,Sithi Nakha
festival,Mohani,मोहनी,Mohani
festival,Mataya,मटया,Mataya
festival,Nhu Dan,न्हुदँ,Nhu Dan
festival,Chhath,छठ,Chhath
art,mask,लखे मुखुटो,Lakhe mukhuto
art,painting,चित्रकला,Chitrakal
art,sculpture,मूर्तिकला,Murtikal
art,woodcarving,काठ नक्काशी,Kath nakkashi
art,metalwork,धातुकला,Dhatukal
art,thangka,थाङ्का,Thangka
art,pottery,माटोकाम,Matokaon
art,weaving,बुनाइ,Bunai
art,dance,नृत्य,Nritya
art,music,संगीत,Sangit
art,poem,कविता,Kabita
art,story,कथा,Katha
art,song,गीत,Git
art,drama,नाटक,Natak
art,photograph,फोटो,Phot
emotion,love,माया,Maya
emotion,hate,घृणा,Ghrina
emotion,fear,डर,Dar
emotion,anger,रिस,Ris
emotion,joy,खुशी,Khushi
emotion,sadness,दुःख,Dukkha
emotion,surprise,अचम्म,Achamma
emotion,disgust,वाक्क,Wakk
emotion,shame,लाज,Laj
emotion,pride,गर्व,Garba
emotion,jealousy,इर्ष्या,Irshya
emotion,loneliness,एकाकीपन,Ekakipana
emotion,hope,आशा,Asha
emotion,worry,चिन्ता,Chinta
emotion,excitement,उत्साह,Utsah
emotion,boredom,बोरियत,Boriyat
emotion,confusion,भ्रम,Bhrama
emotion,courage,साहस,Sahas
emotion,patience,धैर्य,Dhairya
emotion,kindness,दयालुता,Dayaluta
emotion,gratitude,कृतज्ञता,Kritagyata
emotion,trust,विश्वास,Bishwas
emotion,doubt,शंका,Shanka
abstract,time,समय,Samay
abstract,space,आकाश,Akash
abstract,truth,सत्य,Satya
abstract,lie,झूठ,Jhuth
abstract,justice,न्याय,Nyay
abstract,freedom,स्वतन्त्रता,Swatantrata
abstract,peace,शान्ति,Shanti
abstract,war,युद्ध,Yuddha
abstract,power,शक्ति,Shakti
abstract,knowledge,ज्ञान,Gyan
abstract,wisdom,विवेक,Bibek
abstract,beauty,सौन्दर्य,Saundary
abstract,life,जीवन,Jiban
abstract,death,मृत्यु,Mrityu
abstract,birth,जन्म,Janma
abstract,dream,सपना,Sapana
abstract,idea,विचार,Bichar
abstract,memory,स्मृति,Smriti
abstract,future,भविष्य,Bhabishya
abstract,past,भूतकाल,Bhutak
abstract,culture,संस्कृति,Sanskriti
abstract,tradition,परम्परा,Parampara
abstract,identity,पहिचान,Pahichan
abstract,language,भाषा,Bhasa
abstract,heritage,सम्पदा,Sampada
verb,breathe,सास फेर्नु,Sas phernu
verb,swim,पौडिनु,Paudinu
verb,climb,चढ्नु,Chadhnu
verb,fall,खस्नु,Khasnu
verb,jump,उफ्रनु,Uphranu
verb,push,धकेल्नु,Dhakhelnu
verb,pull,तान्नु,Tannu
verb,carry,बोक्नु,Boknu
verb,throw,फ्याँक्नु,Phyanknu
verb,catch,समात्नु,Samatnu
verb,hit,हान्नु,Hannu
verb,cut,काट्नु,Katnu
verb,sew,सिउनु,Siunn
verb,paint,रङ्ग्नु,Rangnu
verb,draw,चित्र बनाउनु,Chitra bananu
verb,plant,रोप्नु,Ropnu
verb,harvest,काट्नु,Katnu
verb,mix,मिसाउनु,Misaunu
verb,pour,खन्याउनु,Khanyaunu
verb,boil,उमाल्नु,Umalnu
verb,fry,भुट्नु,Bhutnu
verb,grind,पिस्नु,Pisnu
verb,blow,फुक्नु,Phuknu
verb,burn,जलाउनु,Jalaunu
verb,melt,पग्लनु,Paglanu
verb,freeze,जम्नु,Jamnu
verb,shake,हल्लाउनु,Hallaunu
verb,bend,झुकाउनु,Jhukaunu
verb,stretch,तन्काउनु,Tankaunu
verb,tie,बाँध्नु,Bandhnu
verb,untie,फुकाउनु,Phukaunu
verb,hang,झुण्ड्याउनु,Jhundyaunu
verb,dig,खन्नु,Khannu
verb,fill,भर्नु,Bharnu
verb,empty,खाली गर्नु,Khali garnu
verb,count,गन्नु,Gannu
verb,measure,नाप्नु,Napnu
verb,weigh,तौल्नु,Taulnu
verb,compare,तुलना गर्नु,Tulana garnu
verb,choose,छान्नु,Chhanu
verb,share,बाँड्नु,Bandnu
verb,borrow,सापटी लिनु,Sapati linu
verb,lend,सापटी दिनु,Sapati dinu
verb,save,बचाउनु,Bachaunu
verb,waste,फोहोर गर्नु,Phohor garnu
verb,celebrate,मनाउनु,Manaunu
verb,pray,पूजा गर्नु,Puja garnu
verb,sing,गाउनु,Gaunu
verb,dance,नाच्नु,Nachnu
verb,dream,सपना देख्नु,Sapana dekhnu
verb,smile,मुस्कुराउनु,Muskuraunu
verb,hug,अँगाल्नु,Angalnu
